region_id,brickname,ra,dec,area_deg2,n_gal,n_lrg_v1_pure_massive,n_lrg_v2_baseline_dr10,n_lrg_v3_color_relaxed,n_lrg_v4_mag_relaxed,n_lrg_v5_very_relaxed
137,0154m067,15.4608938547486,-6.75,0.0624134708283067,3423,8,25,90,198,359
138,0156m410,15.68807339449541,-41.0,0.0623154204933821,4998,12,20,71,187,338
139,0157m642,15.71428571428571,-64.25,0.0620635589671593,5204,6,20,98,235,426
140,0158m655,15.84717607973422,-65.5,0.0619972794554268,4938,9,20,123,288,503
141,0161p057,16.19246861924686,5.75,0.0624456733661833,2563,16,26,94,217,388
142,0162m317,16.27035830618892,-31.75,0.0623221820349953,4467,30,53,96,234,384
143,0162m480,16.2111801242236,-48.0,0.062341311387085,7408,17,41,148,300,533
144,0162p162,16.25722543352601,16.25,0.0624309381158088,2050,16,23,92,195,337
145,0162p192,16.25550660792952,19.25,0.0623846875421464,2388,13,32,96,228,425
146,0164p125,16.49147727272727,12.5,0.0624052350415076,2455,23,46,107,234,421
146,0165p127,16.5149359886202,12.75,0.06243295818742,2786,8,29,98,199,359
146,0167p125,16.74715909090909,12.5,0.0624052350415053,2525,16,34,121,271,450
147,0165m467,16.54545454545455,-46.75,0.0622893133443901,4056,10,22,136,323,559
148,0166m015,16.625,-1.5,0.0624785332483157,4523,9,21,65,158,320
149,0166m802,16.69354838709678,-80.25,0.0614574324828886,5758,8,21,112,275,429
150,0171p100,17.11267605633803,10.0,0.0624173432824344,2081,19,32,86,189,330
151,0173p027,17.375,2.75,0.0624279746327597,5056,8,23,87,210,396
151,0176p025,17.625,2.5,0.0624404643164087,4486,11,23,126,261,417
152,0173p132,17.30769230769231,13.25,0.0623960568143426,2374,7,21,96,193,347
153,0175p157,17.50720461095101,15.75,0.0624069903217798,2154,24,44,129,247,418
154,0175p255,17.55760368663594,25.5,0.0623906383653528,2082,14,35,113,233,440
155,0176p312,17.64991896272285,31.25,0.0623517077183074,2106,15,21,71,157,301
155,0179p310,17.9126213592233,31.0,0.0624150451990297,2418,14,22,112,214,357
155,0178p307,17.85483870967742,30.75,0.0623762223210334,2453,22,43,129,256,456
