name,ra,dec,zlens,type,grading,ref
DESI-036.0256-06.4796,36.02558,-6.47962,0.4,galaxy,probable,Moustakas et al. (2012) - adsabs:2012hst..prop12833M | Huang et al. (2020) - arXiv:1906.00970
DESI-036.0262-61.7198,36.02625,-61.7198,0.84354746,galaxy,confident,Stein et al. (2021) - arXiv:2110.00023 | Storfer et al. (2022) - arXiv:2206.02764
DESI-036.0280-11.2819,36.02804,-11.2819,0.811,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-036.0382-16.3869,36.03821,-16.3869,0.471849,galaxy,probable,Huang et al. (2021) - arXiv:2005.04730
DESI-036.0398-10.9688,36.03979,-10.96884,0.417,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764 | Moustakas et al. (2012) - adsabs:2012hst..prop12833M
DESI-036.0461-21.0569,36.04604,-21.05693,0.651,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764 | Moustakas et al. (2012) - adsabs:2012hst..prop12833M
DESI-036.0536-06.1645,36.05358,-6.1645,0.321,galaxy,probable,Huang et al. (2020) - arXiv:1906.00970
DESI-036.0573+19.8696,36.05729,19.8696,0.847,galaxy,probable,Huang et al. (2021) - arXiv:2005.04730
DESI-036.0653-05.8029,36.06529,-5.8029,0.617,galaxy,probable,Huang et al. (2020) - arXiv:1906.00970
DESI-036.0677-16.3767,36.06766,-16.37669,0.631,galaxy,probable,Huang et al. (2020) - arXiv:1906.00970 | Moustakas et al. (2012) - adsabs:2012hst..prop12833M
DESI-036.0709-34.9079,36.07087,-34.90793,0.667,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-036.0843-31.9371,36.08429,-31.9371,0.292836,galaxy,probable,Huang et al. (2021) - arXiv:2005.04730
DESI-036.0879+00.0726,36.08792,0.0726,0.218,galaxy,probable,Huang et al. (2020) - arXiv:1906.00970
DESI-036.0992+02.4337,36.09923,2.43372,0.482567,galaxy,probable,Huang et al. (2021) - arXiv:2005.04730 | Moustakas et al. (2012) - adsabs:2012hst..prop12833M | Talbot et al. (2020) - arXiv:2007.09006
DESI-036.1025-12.6270,36.10254,-12.62702,0.711,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-036.1040-14.6964,36.10404,-14.69642,0.711,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764 | Stein et al. (2021) - arXiv:2110.00023
DESI-036.1151-18.4664,36.11508,-18.46641,0.681,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-036.1151-05.2254,36.11508,-5.2254,0.902775,galaxy,probable,Huang et al. (2020) - arXiv:1906.00970
DESI-036.1196-25.0390,36.11958,-25.039,,galaxy,probable,Huang et al. (2021) - arXiv:2005.04730
