RA,DEC,BRICKNAME,FLUX_G,FLUX_R,FLUX_Z,FLUX_W1,TYPE,g_mag,r_mag,z_mag,w1_mag,r_minus_z,z_minus_w1,is_lrg_v1,is_lrg_v2,is_lrg_v3,is_lrg_v4,is_lrg_v5,phase3_ranking_mode,region_id,phase3_region_rank
34.69078942822871,-14.9160836663199,0347m150,1.2637079,5.4193864,16.687452,36.257607,SER,22.245883269276703,20.665124709798825,19.444024905670958,18.601502171546866,1.2210998041278671,0.842522734124092,False,False,True,True,True,total_lrg_v3,396,3
34.700375557954494,-14.90743914614301,0347m150,0.32266548,2.017632,8.884949,28.260174,DEV,23.728118727246947,21.737895102733752,20.1283626847392,18.872062929015026,1.6095324179945507,1.256299755724175,False,False,True,True,True,total_lrg_v3,396,3
34.70567144163379,-14.95579419813839,0347m150,1.7365884,4.238355,8.563175,18.2901,REX,21.90075778642961,20.93200663424651,20.168412925701176,19.344459794299553,0.7635937085453328,0.8239531314016233,False,False,True,True,True,total_lrg_v3,396,3
34.71220880523137,-14.901297761758853,0347m150,1.3359797,4.3704543,10.733253,36.13072,REX,22.185500352043636,20.898683538771834,19.923171631768174,18.60530851285637,0.9755119070036606,1.3178631189118022,False,False,True,True,True,total_lrg_v3,396,3
34.71438551270219,-14.900548360528369,0347m150,1.1349723,3.5179675,9.608506,24.43383,EXP,22.362536811766347,21.13427045405599,20.043360312918125,19.030021118595137,1.090910141137865,1.0133391943229881,False,False,True,True,True,total_lrg_v3,396,3
34.714407925596184,-14.899720612318351,0347m150,0.76796454,2.672618,9.426013,28.986683,DEV,22.786647078851626,21.432657813026374,20.064179914856236,18.84450370136692,1.3684778981701378,1.2196762134893149,False,False,True,True,True,total_lrg_v3,396,3
34.71640059436513,-14.886341897861815,0347m150,0.98309636,4.298998,11.445342,69.92332,SER,22.518509778489022,20.916581922870733,19.85342805787859,17.88844494559477,1.0631538649921417,1.9649831122838215,True,True,True,True,True,total_lrg_v3,396,3
34.717160906192525,-14.894203679840022,0347m150,3.718986,9.68257,17.65709,54.868855,SER,21.073938631272043,20.035023335215893,19.382702220478116,18.15168526579653,0.6523211147377772,1.2310169546815857,False,False,True,True,True,total_lrg_v3,396,3
34.7195411803012,-14.920237847236233,0347m150,1.147613,3.0631344,8.913963,29.191072,EXP,22.350511305991574,21.284584857212497,20.124822893562385,18.836874872444618,1.1597619636501122,1.2879480211177672,False,False,True,True,True,total_lrg_v3,396,3
34.72449804783679,-14.8764604679596,0347m150,0.9412596,2.7221167,7.039314,19.561298,EXP,22.565726427351642,21.412733146691075,20.381174186789416,19.27150580633915,1.031558959901659,1.109668380450266,False,False,True,True,True,total_lrg_v3,396,3
